date,currency,rate
2019-01-22,BRL,3.7551
2019-01-22,EGP,17.933988
2019-01-22,DKK,6.57561
2019-01-22,HRK,6.539402
2019-01-22,MYR,4.1353
2019-01-22,SAR,3.751403
2019-01-22,EUR,0.880745
2019-01-22,HUF,279.837952
2019-01-22,PHP,52.968495
2019-01-22,TRY,5.350065
2019-01-22,THB,31.82975
2019-01-22,NGN,362.260015
2019-01-22,CAD,1.33365
2019-01-22,KRW,1131.69558
2019-01-22,RUB,66.523016
2019-01-22,PKR,139.859676
2019-01-22,JPY,109.414965
2019-01-22,HKD,7.846203
2019-01-22,PLN,3.77465
2019-01-22,IDR,14222.5
2019-01-22,CHF,0.99734
2019-01-22,QAR,3.640997
2019-01-22,USD,1
2019-01-22,MXN,19.21658
2019-01-22,VND,23195.5
2019-01-22,ILS,3.70018
2019-01-22,NOK,8.59283
2019-01-22,INR,71.4475
2019-01-22,AUD,1.40328
2019-01-22,CLP,671.3995
2019-01-22,PEN,3.32805
2019-01-22,KZT,378.970015
2019-01-22,CZK,22.536398
2019-01-22,NZD,1.48834
2019-01-22,RON,4.1468
2019-01-22,CNY,6.805965
2019-01-22,SGD,1.36093
2019-01-22,TZS,2308.399746
2019-01-22,ZAR,13.899201
2019-01-22,SEK,9.03805
2019-01-22,TWD,30.904498
2019-01-22,BGN,1.72315
2019-01-22,GBP,0.777095
2019-01-22,AED,3.67325
2019-01-22,COP,3128.8
